portal_id	phylum	subphylum	class	order	family
Aaoar1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Dacampiaceae
Acema1	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Vibrisseaceae
Achstr1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae
Aciaci1	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Amplistromataceae
AcreTS7_1	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Incertae sedis
Acrmed1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Morosphaeriaceae
Acrvag1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Morosphaeriaceae
Alikh1	Ascomycota	Pezizomycotina	Dothideomycetes	Jahnulales	Aliquandostipitaceae
Altalt1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae
Altro1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae
Altsp012_1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae
Altsp017_1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae
Amnli1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Amniculicolaceae
Ampqui1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Leptosphaeriaceae
Amyenc1	Ascomycota	Pezizomycotina	Leotiomycetes	Incertae sedis	Incertae sedis
Ant016_1	Ascomycota	Pezizomycotina	Leotiomycetes	Thelebolales	Thelebolaceae
Antav1	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	Diatrypaceae
Apibac1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Lasiosphaeriaceae
Aplpr1	Ascomycota	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae
Apope1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Lasiosphaeriaceae
Aqupat1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Morosphaeriaceae
Artesp1	Ascomycota	Pezizomycotina	Sordariomycetes	Incertae sedis	Apiosporaceae
Artfe1_2	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae
Ascni1	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Ascodesmidaceae
Aulhe2	Ascomycota	Pezizomycotina	Dothideomycetes	Microthyriales	Aulographaceae
Bimnz1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Montagnulaceae
Bissp1	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Helotiaceae
Boeex1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Didymellaceae
Bombar1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Lasiosphaeriaceae
Bombom1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Lasiosphaeriaceae
Botmuc1	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Trigonopsidaceae
Brefa1	Ascomycota	Pezizomycotina	Sordariomycetes	Microascales	Ceratocystidaceae
Bulin1	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiales	Bulgariaceae
Bysci1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Massarinaceae
Cadosp1	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Incertae sedis
Cadsp1	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Incertae sedis
Calful1	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Caloscyphaceae
Calmar1	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Hyaloscyphaceae
Capfu1	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae
Cepal1_1	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Cephaloascaceae
Cepfr1_1	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Cephaloascaceae
Cercau1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Lasiosphaeriaceae
Cernew1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Lasiosphaeriaceae
Cersc1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Lasiosphaeriaceae
Cha1176438	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae
Chafi1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae
Chafu1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae
Chagl1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae
Chahya1	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Incertae sedis
Chame1	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae
ClaNC0930_1	Ascomycota	Pezizomycotina	Eurotiomycetes	Phaeomoniellales	Incertae sedis
Clael1	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Diademaceae
